Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging?,General Comments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
Pick up the green block in the center nest to the blue block,Configuration_8_v2.png,human,4,0:00:23.748864,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229
Pick up the yellow block that is right beside the blue block on the right,Configuration_4_v1.png,human,3,0:00:25.859970,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229
Pick up the blue block that is right behind the green block closest to you,Configuration_14_v2.png,human,4,0:00:22.356222,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229
Pick up the third green block on your left,Configuration_6_v1.png,human,4,0:00:23.027208,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229
Pick up the green block directly in front of you,Configuration_9_v2.png,human,5,0:00:12.704153,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229
Pick up the yellow block,Configuration_1_v1.png,human,5,0:00:09.044627,Not that I was aware of,Was not extremely challenging. The most challenging aspect was figuring out how to describe a block that was surrounded by blocks of the same color,,37,female,Sales Manager,>20,Right,1,1,1,2,5,No,229
Pick up the orange block closest to me.,Configuration_10_v2.png,robot,4,0:00:35.535253,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the blue block that is closest to the right side of the table.,Configuration_14_v1.png,robot,2,0:01:47.209160,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the green block farthest away from you.,Configuration_3_v2.png,robot,4,0:00:25.304363,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the yellow block that is between the green block and the blue block.,Configuration_11_v1.png,robot,4,0:01:00.020138,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the green block that is between the green block and the blue block and behind the yellow block.,Configuration_8_v2.png,robot,1,0:01:50.667197,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the green block that is in the middle of  the group of 5 green blocks.,Configuration_6_v1.png,robot,2,0:00:46.242275,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the yellow block that is between the green block and the yellow block.,Configuration_13_v2.png,robot,4,0:00:28.956766,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick the green block farthest away from you.,Configuration_9_v1.png,robot,4,0:00:18.569055,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the yellow block which is between two yellow blocks and beside a blue block.,Configuration_4_v2.png,robot,1,0:01:27.071452,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the orange block farthest away from you.,Configuration_5_v1.png,robot,4,0:00:23.323665,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the blue block closest to me.,Configuration_12_v2.png,robot,4,0:00:13.929536,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the yellow block.,Configuration_1_v1.png,robot,5,0:00:12.345280,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick the green block which is the farthest to my right.,Configuration_7_v2.png,robot,4,0:00:38.459782,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the blue block that is in front of the orange block.,Configuration_2_v1.png,robot,4,0:00:47.774400,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block. ,To select which words would make it easier to find to block. ,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No. ,228
Pick up the green block to the right or the blu block in the middle.,Configuration_8_v2.png,human,4,0:00:37.146955,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the blue block directly to the left of the orange block at the bottom left side of the table.,Configuration_2_v1.png,human,4,0:00:49.704562,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the yellow block directly to the right of the bottom green block,Configuration_13_v2.png,human,4,0:00:45.734217,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the yellow block directly to the left of the rightmost blue block.,Configuration_4_v1.png,human,4,0:00:39.142710,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up ht blue block to the bottom left of the rightmost yellow block.,Configuration_11_v2.png,human,3,0:00:46.052558,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the green block to the upper left of the yellow block that is at  the upper left of the yellow block to the left of the orange block at the bottom right of the table,Configuration_6_v1.png,human,1,0:01:13.825935,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the topmost blue block,Configuration_12_v2.png,human,5,0:00:20.017647,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the orange block that is directly next to the orange block,Configuration_5_v1.png,human,4,0:00:45.789595,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
pick up the green block underneath the two uppermost blue blocks,Configuration_3_v2.png,human,4,0:00:25.241376,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
pick up the only yellow block,Configuration_1_v1.png,human,5,0:00:18.410794,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the orange block that is to the bottom left of the furthest right blue block,Configuration_10_v2.png,human,4,0:00:41.935925,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the blue block above the bottom most yellow block,Configuration_7_v1.png,human,4,0:00:23.965563,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the blue block that is above the bottommost green block.,Configuration_14_v2.png,human,4,0:00:26.437551,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the upper most green block,Configuration_9_v1.png,human,5,0:00:15.238448,No specific strategy really.,"Some were challenging, but not too hard.",,40,no answer,Data Processor,>20,Right,1,1,2,6,6,Yes. The place I used to work had a robot that stacked and wrapped pallets.,227
Pick up the purple block located directly next to a purple and orange block on your left side.,Configuration_2_v2.png,robot,2,0:00:33.132377,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick the green block in the middle of the horizontal line of green blocks.,Configuration_8_v1.png,robot,1,0:02:41.949943,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick the yellow block furthest from you.,Configuration_5_v2.png,robot,5,0:00:09.705727,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick the yellow block to the left of the purple block furthest to your right.,Configuration_4_v1.png,robot,3,0:00:27.731708,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the orange block closest to you.,Configuration_10_v2.png,robot,5,0:00:26.154782,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the purple block furthest to the right.,Configuration_14_v1.png,robot,5,0:00:09.828791,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the green block closest to you.,Configuration_1_v2.png,robot,5,0:00:11.394904,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the yellow block surrounded on 3 sides by green blocks.,Configuration_11_v1.png,robot,2,0:00:14.989230,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the green block closest to you.,Configuration_9_v2.png,robot,5,0:00:12.169135,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the blue block furthest to your left.,Configuration_7_v1.png,robot,5,0:16:50.239075,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the yellow block directly to the right of the green block that is closest to you.,Configuration_13_v2.png,robot,2,0:00:22.805145,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the green block closest to you.,Configuration_3_v1.png,robot,5,0:00:12.763583,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the green block directly in front of the orange block.,Configuration_6_v2.png,robot,2,0:00:58.367983,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
"Pick up the blue block furthest from you, on your left.",Configuration_12_v1.png,robot,4,0:00:24.947776,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
"Directly in front of you is an orange block between a yellow and blue block. Please pick up that orange block, which is above the yellow block in front of you.",Configuration_10_v2.png,human,3,0:01:23.402193,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"I want you to pick up a certain green block. There are two green blocks directly in front of you, pick up the one in the middle of the row of three green blocks above those.",Configuration_8_v1.png,human,1,0:06:43.211067,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
Pick up the green block directly in front of you.,Configuration_1_v2.png,human,5,0:00:25.033377,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
In front of your left side are two blue blocks beside an orange one. Pick up the the blue block in between the orange one and the blue one.,Configuration_2_v1.png,human,3,0:01:15.058241,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
Pick up the blue block directly in front of me.,Configuration_12_v2.png,human,4,0:00:22.537729,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"In front of me are three orange blocks. Pick up the one in the middle, the one closest to you.",Configuration_13_v1.png,human,4,0:00:37.974911,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
In front of you is a green block. It is right in the middle of the collection of blocks. Please pick up the blue block that is right above that green block.,Configuration_14_v2.png,human,3,0:00:58.015694,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"In front of you, on your left side are two green blocks close together. I want you to pick up the green block that is right above those two.",Configuration_6_v1.png,human,4,0:00:51.984250,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"Pick up the green block that is closest to you, the one right in front of you.",Configuration_9_v2.png,human,4,0:00:32.092000,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"In front of me, on my right side is a yellow block and an orange one to the right of it, beside it. Pick up that orange block",Configuration_5_v1.png,human,2,0:01:27.657913,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"In front of me, to my right, are two green blocks. Pick up the first green block you see.",Configuration_7_v2.png,human,3,0:01:01.861851,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"Directly in front of you is a yellow block. Pick up the next yellow block you see, the one right in front of the first.",Configuration_11_v1.png,human,4,0:00:42.738423,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"Looking at the blocks, on your right side is an orange block with two yellow ones above it. Pick up the yellow block at the very top, the one before you get to the blue one.",Configuration_4_v2.png,human,2,0:01:29.030761,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
"Right in front of you is a green block, pick that one up.",Configuration_3_v1.png,human,5,0:00:23.402685,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
Narrow search to just orange blocks. Look for the orange block that is closest to you. Pick it up.,Configuration_10_v2.png,robot,4,0:01:04.039384,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search for only green blocks. Look for the green block that is furthest away from you.,Configuration_9_v1.png,robot,5,0:00:39.364951,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only blue blocks. Look for the blue blocks that are closest to you. Pick up the one that is second-closest to you.,Configuration_14_v2.png,robot,3,0:01:28.320806,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only yellow blocks. Find the only yellow block in the pile. Pick it up.,Configuration_1_v1.png,robot,5,0:00:25.086736,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only yellow blocks. Look at the yellow blocks closest to the right of the table. Look for the fourth-closest to the right of the table. Pick it up.,Configuration_4_v2.png,robot,1,0:01:02.651718,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search for only green blocks. Find the green block that is closest to you. Pick it up.,Configuration_3_v1.png,robot,5,0:00:54.240717,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only green blocks. Find the green block that is closest to the left edge of the table. Pick it up.,Configuration_7_v2.png,robot,5,0:00:33.559818,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only orange blocks. Find the orange block that is furthest to the opposite side of the table.,Configuration_5_v1.png,robot,4,0:00:39.362655,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only blue blocks. Find the blue block that is closest to the opposite end of the table. Pick it up.,Configuration_12_v2.png,robot,5,0:00:48.119791,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only green blocks. Look at the left side of the table. Pick up the green block that is the second-closest to the left of the table.,Configuration_6_v1.png,robot,3,0:00:50.843601,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only blue blocks. Find the blue block that is closest to you. Pick it up.,Configuration_11_v2.png,robot,5,0:00:26.039635,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only blue blocks. Look at the blue blocks closest to the left edge of the table. Pick up the blue block that is second-closest to the left edge of the table.,Configuration_2_v1.png,robot,4,0:02:10.001581,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only green blocks. Look at the left side of the table. Find the green block that is fourth-closest to the left side of the table. Pick it up.,Configuration_8_v2.png,robot,3,0:01:01.754186,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
Narrow search to only orange blocks. Look at the right side of the table. Pick up the orange block that is second-closest to the right side of the table.,Configuration_13_v1.png,robot,4,0:00:42.152703,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
reach out and grab the blue block on the right side.,Configuration_11_v2.png,human,4,0:00:29.118955,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Reach out and grab the third closest green block on your left side.,Configuration_6_v1.png,human,4,0:00:34.593778,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
pick up the first green block on your right side,Configuration_9_v2.png,human,4,0:00:20.082355,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the blue block in front f the yellow block on your right,Configuration_14_v1.png,human,4,0:00:31.337396,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
pick up the green block closest to you on your right.,Configuration_1_v2.png,human,3,0:00:19.951422,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the farthest orange block from you on your left.,Configuration_10_v1.png,human,,0:00:19.782221,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
see thos green blocks together? Pick up the one on the left.,Configuration_8_v2.png,human,3,0:00:36.605657,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the closest green block,Configuration_3_v1.png,human,3,0:00:16.895865,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the blue block farthest from you.,Configuration_12_v2.png,human,3,0:00:24.082720,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the center blue block on your left.,Configuration_2_v1.png,human,3,0:00:20.177019,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the yellow block on the left in the second row of yellow.,Configuration_13_v2.png,human,2,0:00:36.252589,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the blue block on the left.,Configuration_7_v1.png,human,3,0:00:12.531579,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the second yellow block on your left.,Configuration_4_v2.png,human,2,0:00:22.107042,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the farthest orange block from you on your left.,Configuration_5_v1.png,human,1,0:00:21.375680,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the blue block that is closest to me.,Configuration_12_v2.png,robot,5,0:00:13.014828,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view. ,Very interesting HIT! I hope I did it correctly. ,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222
Pick up the blue block that is to my rightest.,Configuration_7_v1.png,robot,5,0:00:20.469964,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view. ,Very interesting HIT! I hope I did it correctly. ,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222
Pick up the yellow block that is northeast of my left most blue block.,Configuration_4_v2.png,robot,1,0:01:06.760768,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view. ,Very interesting HIT! I hope I did it correctly. ,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222
Pick up the green block that is in between two sets of green blocks.,Configuration_6_v1.png,robot,4,0:00:25.845912,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view. ,Very interesting HIT! I hope I did it correctly. ,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222
Pick up the blue block that is directly in front of the closest green block to you.,Configuration_14_v2.png,robot,4,0:00:28.422416,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view. ,Very interesting HIT! I hope I did it correctly. ,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222
Pick up the nearest green block that is directly northwest of the yellow block closest to me.,Configuration_8_v1.png,robot,4,0:00:40.629345,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view. ,Very interesting HIT! I hope I did it correctly. ,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222
Pick up the orange block that is furthest away from me.,Configuration_10_v2.png,robot,5,0:00:22.883954,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view. ,Very interesting HIT! I hope I did it correctly. ,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222
